defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	shape	shape_label
http://purl.obolibrary.org/obo/HP_0004222	Cone-shaped epiphysis of the distal phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004314	distal phalanx of manual digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100204	Cone-shaped epiphysis of the distal phalanx of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004319	distal phalanx of pedal digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010140	Cone-shaped epiphysis of the distal phalanx of the hallux	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004315	distal phalanx of pedal digit 1	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009677	Cone-shaped epiphysis of the distal phalanx of the thumb	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004337	distal phalanx of manual digit 1	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009515	Cone-shaped epiphysis of the middle phalanx of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004320	middle phalanx of manual digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100113	Cone-shaped epiphysis of the middle phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004324	middle phalanx of pedal digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009323	Cone-shaped epiphysis of the middle phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004321	middle phalanx of manual digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100148	Cone-shaped epiphysis of the middle phalanx of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004325	middle phalanx of pedal digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009216	Cone-shaped epiphysis of the middle phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004322	middle phalanx of manual digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100182	Cone-shaped epiphysis of the middle phalanx of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004326	middle phalanx of pedal digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009205	Cone-shaped epiphysis of the middle phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004323	middle phalanx of manual digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100215	Cone-shaped epiphysis of the middle phalanx of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004327	middle phalanx of pedal digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009526	Cone-shaped epiphysis of the proximal phalanx of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100124	Cone-shaped epiphysis of the proximal phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004333	proximal phalanx of pedal digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009348	Cone-shaped epiphysis of the proximal phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004329	proximal phalanx of manual digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100159	Cone-shaped epiphysis of the proximal phalanx of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004334	proximal phalanx of pedal digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009263	Cone-shaped epiphysis of the proximal phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004330	proximal phalanx of manual digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100193	Cone-shaped epiphysis of the proximal phalanx of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004335	proximal phalanx of pedal digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009155	Cone-shaped epiphysis of the proximal phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100226	Cone-shaped epiphysis of the proximal phalanx of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004336	proximal phalanx of pedal digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010129	Cone-shaped epiphysis of the proximal phalanx of the hallux	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004332	proximal phalanx of pedal digit 1	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009666	Cone-shaped epiphysis of the proximal phalanx of the thumb	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004338	proximal phalanx of manual digit 1	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009688	Cone-shaped epiphysis of the thumb	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003620	manual digit 1 phalanx	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0008425	Cuboid-shaped thoracolumbar vertebral bodies	http://purl.obolibrary.org/obo/UBERON_0001075	bony vertebral centrum	http://purl.obolibrary.org/obo/UBERON_0009568	trunk region of vertebral column	http://purl.obolibrary.org/obo/PATO_0001872	cuboid
